Song,Artist,Compound,Negitive,Neutral,Positive
In The Garden,Alabama,0.9647,0.036,0.833,0.131
Is The Magic Still There,Alabama,0.9842,0.022,0.847,0.131
It Works,Alabama,-0.6961,0.09,0.837,0.073
I've Loved A Lot More Than I've Hurt,Alabama,-0.9334,0.239,0.568,0.192
Jesus Loves Me,Alabama,0.9993,0.008,0.386,0.606
Joseph And Mary's Boy,Alabama,0.9806,0.0,0.793,0.207
Keep On Dreamin',Alabama,0.9885,0.061,0.729,0.21
Keepin' Up,Alabama,-0.9777,0.142,0.824,0.034
Life's Too Short To Love This Fast,Alabama,0.9916,0.03,0.809,0.161
Little Drummer Boy,Alabama,0.9284,0.026,0.882,0.092
Louisiana Moon,Alabama,-0.9252,0.165,0.73,0.105
Louisiana Saturday Night,Alabama,0.7968,0.006,0.944,0.049
Love Remains,Alabama,0.999,0.192,0.403,0.405
Mist Of Desire,Alabama,0.9938,0.063,0.655,0.282
Moonlight Lounge,Alabama,0.9695,0.006,0.853,0.141
Mountain Music,Alabama,0.9893,0.011,0.771,0.218
My Girl,Alabama,0.919,0.014,0.889,0.097
My Love Belongs To You,Alabama,0.9953,0.0,0.663,0.337
Never Be One,Alabama,0.3892,0.021,0.924,0.055
New Year's Eve 1999,Alabama,0.9795,0.011,0.8,0.19
Nothing Comes Close,Alabama,0.9831,0.081,0.722,0.197
O Little Town Of Bethlehem,Alabama,0.9584,0.044,0.782,0.174
Of Course I'm Alright,Alabama,0.9903,0.008,0.777,0.215
Old (Baugh) Road,Alabama,0.9432,0.009,0.886,0.105
Old Flame,Alabama,0.9003,0.065,0.801,0.134
Old Man,Alabama,0.89,0.01,0.931,0.06
Old Shep,Alabama,0.9916,0.032,0.762,0.205
On This Side Of The Moon,Alabama,0.9929,0.005,0.805,0.19
One Life,Alabama,0.9972,0.021,0.694,0.284
One More Time Around,Alabama,0.919,0.039,0.845,0.117
Patches,Alabama,0.8537,0.026,0.935,0.039
Pete's Music City,Alabama,0.8687,0.045,0.847,0.108
Pictures And Memories,Alabama,0.9813,0.126,0.636,0.238
Pony Express,Alabama,0.8485,0.031,0.913,0.055
Red River,Alabama,0.8934,0.01,0.934,0.056
Reinvent The Wheel,Alabama,0.9911,0.026,0.779,0.196
Richard Petty Fan,Alabama,0.9929,0.0,0.727,0.273
Ride The Train,Alabama,0.6908,0.02,0.914,0.066
Right Where I Am,Alabama,0.9493,0.0,0.875,0.125
Rock Of Ages,Alabama,-0.8316,0.138,0.808,0.054
Rockin' Around The Christmas Tree,Alabama,0.9902,0.015,0.663,0.322
Roll On .,Alabama,0.9118,0.026,0.918,0.056
Sad Lookin' Moon,Alabama,-0.9636,0.171,0.771,0.058
Santa Claus,Alabama,-0.1311,0.047,0.904,0.049
Say I,Alabama,-0.9814,0.178,0.732,0.089
"See The Embers, Feel The Flames",Alabama,0.9936,0.051,0.668,0.281
She Ain't Your Ordinary Girl,Alabama,0.9541,0.047,0.83,0.123
She And I,Alabama,0.6595,0.116,0.748,0.136
She's Got That Look In Her Eyes,Alabama,0.9841,0.062,0.747,0.191
Simple As That,Alabama,0.9977,0.02,0.716,0.264
"Some Other Place, Some Other Time",Alabama,0.9817,0.009,0.812,0.179
Sometimes Out Of Touch,Alabama,-0.6131,0.113,0.781,0.106
Song Of The South,Alabama,0.7384,0.089,0.78,0.131
Southern Star,Alabama,0.9769,0.016,0.823,0.16
Spin The Wheel,Alabama,0.9835,0.077,0.77,0.153
Start Living,Alabama,0.915,0.038,0.871,0.091
Starting Tonight,Alabama,0.9663,0.037,0.761,0.202
Still Goin' Strong,Alabama,0.9981,0.013,0.621,0.366
Sunday Drive,Alabama,0.9583,0.048,0.788,0.164
Suppertime,Alabama,0.9732,0.0,0.883,0.117
Take A Little Trip,Alabama,0.979,0.005,0.877,0.118
Take Me Down,Alabama,0.9847,0.025,0.781,0.194
Tennessee Christmas,Alabama,0.9935,0.005,0.801,0.195
That Feeling,Alabama,0.9823,0.017,0.762,0.221
The Blessings,Alabama,0.9974,0.019,0.689,0.293
The Christmas Spirit,Alabama,0.9765,0.0,0.843,0.157
The Closer You Get,Alabama,0.4939,0.102,0.803,0.096
The End Of The Lyin',Alabama,0.7774,0.04,0.883,0.077
The Fans,Alabama,0.9207,0.008,0.886,0.107
The Maker Said Take Her,Alabama,0.9973,0.0,0.728,0.272
The Night Before Christmas,Alabama,0.9847,0.008,0.83,0.162
The Refrain Of John Dillon James,Alabama,0.99,0.015,0.855,0.13
The Star Spangled Banner,Alabama,0.9553,0.027,0.763,0.21
Then We Remember,Alabama,0.9947,0.0,0.838,0.162
There's A Fire In The Night,Alabama,-0.549,0.118,0.777,0.105
There's No Way .,Alabama,0.7717,0.083,0.818,0.099
This Loves On Me,Alabama,0.9895,0.135,0.607,0.259
Thistlehair The Christmas Bear,Alabama,0.9975,0.008,0.798,0.194
A Dream Within A Dream,Alan Parsons Project,0.8241,0.024,0.874,0.102
Ammonia Avenue,Alan Parsons Project,-0.9211,0.133,0.799,0.068
Back Against The Wall,Alan Parsons Project,0.9511,0.06,0.785,0.155
Beaujolais,Alan Parsons Project,-0.9741,0.214,0.647,0.139
Blown By The Wind,Alan Parsons Project,0.919,0.023,0.907,0.07
Breakdown,Alan Parsons Project,0.9946,0.1,0.639,0.261
Brother Up In Heaven,Alan Parsons Project,0.9691,0.141,0.637,0.222
Call Up,Alan Parsons Project,0.85,0.032,0.909,0.058
Children Of The Moon,Alan Parsons Project,-0.9921,0.218,0.727,0.056
Closer To Heaven,Alan Parsons Project,0.9898,0.093,0.684,0.223
Damned If I Do,Alan Parsons Project,-0.9939,0.263,0.687,0.05
Dancing On A High Wire,Alan Parsons Project,0.8445,0.077,0.815,0.108
Day After Day,Alan Parsons Project,-0.7615,0.093,0.834,0.073
Don't Hold Back,Alan Parsons Project,-0.4791,0.096,0.856,0.048
Don't Let It Show,Alan Parsons Project,0.5104,0.065,0.857,0.077
Dora,Alan Parsons Project,-0.7277,0.11,0.806,0.084
Far Away From Home,Alan Parsons Project,0.8751,0.069,0.811,0.121
Freudiana,Alan Parsons Project,0.789,0.057,0.829,0.113
Funny You Should Say That,Alan Parsons Project,0.998,0.054,0.745,0.201
I Am A Mirror,Alan Parsons Project,0.8963,0.096,0.777,0.126
I Can't Look Down,Alan Parsons Project,-0.7143,0.083,0.862,0.055
I Don't Wanna Go Home,Alan Parsons Project,-0.211,0.107,0.799,0.094
I Wouldn't Want To Be Like You,Alan Parsons Project,-0.9485,0.232,0.75,0.019
If I Could Change Your Mind,Alan Parsons Project,0.0165,0.086,0.825,0.09
Inside Looking Out,Alan Parsons Project,0.8821,0.009,0.921,0.07
La Sagrada Familia,Alan Parsons Project,0.8616,0.102,0.776,0.123
Let Me Go Home,Alan Parsons Project,-0.9231,0.174,0.775,0.051
Let Yourself Go,Alan Parsons Project,0.7534,0.043,0.881,0.076
Let's Talk About Me,Alan Parsons Project,-0.9382,0.141,0.776,0.083
Light Of The World,Alan Parsons Project,-0.9541,0.147,0.778,0.075
Limelight,Alan Parsons Project,-0.8138,0.06,0.924,0.016
Little Hans,Alan Parsons Project,-0.5618,0.087,0.839,0.073
Money Talks,Alan Parsons Project,0.7441,0.081,0.814,0.104
More Lost Without You,Alan Parsons Project,-0.9513,0.169,0.809,0.023
No One Can Love You Better Than Me,Alan Parsons Project,0.9982,0.093,0.594,0.313
Nothing Left To Lose,Alan Parsons Project,-0.6463,0.173,0.693,0.134
Old And Wise,Alan Parsons Project,0.9531,0.055,0.804,0.141
One Day To Fly,Alan Parsons Project,-0.035,0.079,0.846,0.075
One Good Reason,Alan Parsons Project,0.9929,0.067,0.668,0.265
One More River,Alan Parsons Project,-0.8494,0.071,0.929,0.0
Out Of The Blue,Alan Parsons Project,-0.8225,0.148,0.773,0.079
Press Rewind,Alan Parsons Project,0.8611,0.029,0.888,0.083
Prime Time,Alan Parsons Project,0.9826,0.0,0.83,0.17
Psychobabble,Alan Parsons Project,-0.982,0.171,0.751,0.077
Pyramania,Alan Parsons Project,0.9856,0.042,0.791,0.167
Sects Therapy,Alan Parsons Project,0.8236,0.093,0.801,0.106
Separate Lives,Alan Parsons Project,0.9598,0.012,0.901,0.087
Shadow Of A Lonely Man,Alan Parsons Project,-0.9477,0.116,0.846,0.038
Silence And I,Alan Parsons Project,0.9886,0.064,0.702,0.234
Since The Last Goodbye,Alan Parsons Project,-0.8807,0.119,0.807,0.074
Snake Eyes,Alan Parsons Project,0.8625,0.03,0.847,0.123
Some Other Time,Alan Parsons Project,-0.5267,0.059,0.911,0.03
Sooner Or Later,Alan Parsons Project,0.9527,0.032,0.862,0.106
Standing On Higher Ground,Alan Parsons Project,-0.8409,0.109,0.83,0.062
Step By Step,Alan Parsons Project,0.5511,0.073,0.833,0.095
The Three Of Me,Alan Parsons Project,0.8663,0.067,0.839,0.094
To One In Paradise,Alan Parsons Project,0.938,0.078,0.769,0.153
Too Close To The Sun,Alan Parsons Project,0.9642,0.059,0.791,0.15
Too Late,Alan Parsons Project,-0.9644,0.149,0.828,0.022
Upper Me,Alan Parsons Project,-0.5301,0.178,0.676,0.147
Vulture Culture,Alan Parsons Project,-0.9981,0.306,0.633,0.061
What Goes Up...,Alan Parsons Project,0.952,0.027,0.847,0.127
When,Alan Parsons Project,0.3612,0.013,0.952,0.035
Winding Me Up,Alan Parsons Project,-0.9234,0.14,0.748,0.112
Wine From The Water,Alan Parsons Project,0.9942,0.035,0.784,0.181
You Can Run,Alan Parsons Project,-0.8509,0.151,0.728,0.121
You Don't Believe,Alan Parsons Project,0.8422,0.021,0.9,0.079
You Lie Down With Dogs,Alan Parsons Project,0.9841,0.098,0.718,0.184
You Won't Be There,Alan Parsons Project,0.9822,0.05,0.766,0.183
You're Gonna Get Your Fingers Burned,Alan Parsons Project,-0.2537,0.069,0.868,0.063
You're On Your Own,Alan Parsons Project,-0.5423,0.098,0.817,0.085
Abide With Me,Aled Jones,-0.9563,0.261,0.577,0.162
All Through The NIght,Aled Jones,0.8765,0.037,0.838,0.125
Always There,Aled Jones,-0.0629,0.039,0.923,0.038
Breuddwyd Glyndwr (The Dream Of Glyndower,Aled Jones,-0.1027,0.054,0.889,0.057
Coventry Carol,Aled Jones,-0.9334,0.167,0.833,0.0
Did You Not Hear My Lady,Aled Jones,0.9077,0.065,0.792,0.144
Do You Hear What I Hear,Aled Jones,0.9354,0.0,0.917,0.083
Father And Son,Aled Jones,0.9808,0.054,0.783,0.163
Hallelujah,Aled Jones,0.9997,0.059,0.381,0.56
I Believe,Aled Jones,0.99,0.069,0.619,0.312
In The Bleak Midwinter,Aled Jones,0.6908,0.086,0.795,0.119
"Mary, Did You Know?",Aled Jones,0.9792,0.069,0.746,0.185
O Come All Ye Faithful,Aled Jones,0.9963,0.029,0.606,0.364
O Little Town Of Bethlehem,Aled Jones,0.9584,0.044,0.782,0.174
Places (Out Of Africa Theme),Aled Jones,0.9691,0.017,0.81,0.173
San Damiano,Aled Jones,0.9528,0.0,0.894,0.106
The Little Road To Bethlehem,Aled Jones,0.7184,0.0,0.952,0.048
Tylluanod (Owls),Aled Jones,-0.5883,0.053,0.913,0.035
Vespera,Aled Jones,0.6908,0.106,0.79,0.104
What Sweeter Music,Aled Jones,0.9799,0.028,0.841,0.131
You Raise Me Up,Aled Jones,-0.198,0.102,0.843,0.056
A Bedtime Story,Alice Cooper,0.9627,0.019,0.854,0.127
A Runaway Train,Alice Cooper,-0.9885,0.243,0.664,0.093
Adaptable (Anything For You),Alice Cooper,0.8889,0.041,0.873,0.086
Ain't That Just Like A Woman,Alice Cooper,-0.7248,0.168,0.756,0.077
Alma Mater,Alice Cooper,0.9938,0.052,0.73,0.218
Aspirin Damage,Alice Cooper,-0.9973,0.395,0.563,0.043
Backyard Brawl,Alice Cooper,-0.7537,0.05,0.95,0.0
Bad Place Alone,Alice Cooper,-0.9612,0.126,0.841,0.033
Beautiful Flyaway,Alice Cooper,0.7506,0.093,0.788,0.119
Bed Of Nails,Alice Cooper,0.9816,0.13,0.641,0.228
Big Apple Dreamin' (Hippo),Alice Cooper,0.9573,0.035,0.887,0.078
Billion Dollar Babies,Alice Cooper,-0.4575,0.128,0.754,0.117
Black Juju,Alice Cooper,-0.5994,0.148,0.73,0.122
Blow Me A Kiss,Alice Cooper,0.9627,0.043,0.84,0.117
Brutal Planet,Alice Cooper,-0.3869,0.175,0.656,0.169
Burning Our Bed,Alice Cooper,-0.9271,0.142,0.772,0.086
Bye Bye Baby,Alice Cooper,-0.7662,0.137,0.766,0.097
Caffeine,Alice Cooper,0.9919,0.031,0.656,0.312
Call It Evil (Demo),Alice Cooper,-0.986,0.177,0.75,0.073
"Can't Sleep, Clowns Will Eat Me",Alice Cooper,0.9454,0.046,0.832,0.122
Catch Me If You Can,Alice Cooper,-0.9207,0.09,0.871,0.039
Caught In A Dream,Alice Cooper,0.9627,0.057,0.78,0.163
"Chop, Chop, Chop",Alice Cooper,-0.2752,0.078,0.845,0.077
Cleansed By Fire,Alice Cooper,-0.9923,0.254,0.584,0.162
Cold Ethyl,Alice Cooper,0.9732,0.053,0.749,0.198
Cold Machines,Alice Cooper,0.8621,0.053,0.831,0.117
Crazy Little Child,Alice Cooper,0.9413,0.08,0.791,0.129
Da Da,Alice Cooper,0.9681,0.096,0.716,0.187
Dance Yourself To Death,Alice Cooper,-0.9698,0.201,0.67,0.129
Dangerous Tonight,Alice Cooper,-0.9924,0.276,0.606,0.118
Deeper,Alice Cooper,-0.9929,0.206,0.77,0.024
Dirty Dreams,Alice Cooper,0.211,0.144,0.696,0.16
Disco Bloodbath Boogie Fever,Alice Cooper,-0.9774,0.108,0.85,0.042
Don't Blow Your Mind,Alice Cooper,0.4236,0.114,0.735,0.151
Don't Talk Old To Me,Alice Cooper,0.8789,0.116,0.749,0.134
Dragontown,Alice Cooper,-0.9574,0.129,0.804,0.067
Dyslexia,Alice Cooper,-0.1503,0.129,0.757,0.114
Eat Some More,Alice Cooper,-0.9939,0.197,0.751,0.052
Eighteen,Alice Cooper,0.9717,0.04,0.798,0.162
Elected,Alice Cooper,0.9825,0.059,0.706,0.235
Escape,Alice Cooper,0.984,0.078,0.686,0.236
Every Woman Has A Name,Alice Cooper,0.2115,0.096,0.791,0.113
Fantasy Man,Alice Cooper,-0.9746,0.148,0.758,0.094
Feed My Frankenstein,Alice Cooper,0.9938,0.026,0.773,0.201
Fire,Alice Cooper,0.468,0.104,0.775,0.12
For Veronica's Sake,Alice Cooper,0.8074,0.064,0.846,0.09
Freedom,Alice Cooper,0.9997,0.032,0.513,0.455
Fresh Blood,Alice Cooper,-0.9878,0.203,0.659,0.137
From The Inside,Alice Cooper,-0.9081,0.152,0.784,0.064
Generation Landslide,Alice Cooper,0.6705,0.062,0.847,0.091
Ghouls Gone Wild,Alice Cooper,0.9836,0.029,0.851,0.12
Gimme,Alice Cooper,0.9921,0.039,0.799,0.162
Give The Kid A Break,Alice Cooper,-0.537,0.131,0.745,0.124
Go To Hell,Alice Cooper,-0.9959,0.335,0.642,0.022
Going Home,Alice Cooper,0.8511,0.14,0.661,0.199
Great American Success Story,Alice Cooper,0.9274,0.049,0.849,0.102
Grim Facts,Alice Cooper,-0.9898,0.22,0.692,0.087
Guilty,Alice Cooper,-0.9844,0.212,0.705,0.082
Hallowed Be My Name,Alice Cooper,-0.4514,0.114,0.803,0.083
Halo Of Flies,Alice Cooper,0.4954,0.105,0.776,0.118
Hard Hearted Alice,Alice Cooper,-0.3417,0.118,0.774,0.108
Hard Rock Summer,Alice Cooper,-0.8242,0.137,0.827,0.036
Hello Hooray,Alice Cooper,0.9964,0.03,0.637,0.333
Hey Stoopid,Alice Cooper,-0.3557,0.121,0.775,0.104
House Of Fire,Alice Cooper,0.4537,0.129,0.735,0.136
How You Gonna See Me Now,Alice Cooper,0.9931,0.04,0.766,0.193
Hurricane Years,Alice Cooper,-0.9653,0.185,0.701,0.114
I Am Made Of You,Alice Cooper,0.6808,0.066,0.853,0.081
I Am The Future,Alice Cooper,0.7998,0.059,0.84,0.102
I Got A Line On You,Alice Cooper,0.9945,0.0,0.794,0.206
I Never Cry,Alice Cooper,0.9818,0.04,0.765,0.195
Identity Crisises,Alice Cooper,0.3182,0.054,0.873,0.073
I'll Bite Your Face Off,Alice Cooper,0.959,0.044,0.849,0.107
I'm Always Chasing Rainbows,Alice Cooper,0.4908,0.132,0.713,0.155
I'm Flash,Alice Cooper,-0.9633,0.161,0.736,0.102
I'm Hungry,Alice Cooper,0.9642,0.051,0.783,0.166
I'm So Angry,Alice Cooper,-0.9979,0.323,0.585,0.092
I'm The Coolest,Alice Cooper,0.9928,0.036,0.729,0.235
I'm Your Gun,Alice Cooper,-0.987,0.22,0.653,0.127
Inmates (We're All Crazy),Alice Cooper,-0.9736,0.187,0.712,0.101
Is Anyone Home,Alice Cooper,-0.5972,0.13,0.753,0.118
Is It My Body,Alice Cooper,0.9723,0.0,0.826,0.174
It's Me,Alice Cooper,-0.9838,0.144,0.792,0.064
It's The Little Things,Alice Cooper,-0.4047,0.121,0.761,0.117
Killed By Love,Alice Cooper,0.2804,0.276,0.44,0.284
Last Man On Earth,Alice Cooper,-0.979,0.215,0.728,0.058
Leather Boots,Alice Cooper,-0.9864,0.217,0.694,0.089
Levity Ball,Alice Cooper,0.0,0.0,1.0,0.0
Life And Death Of The Party,Alice Cooper,-0.935,0.193,0.662,0.145
Little By Little,Alice Cooper,0.9692,0.146,0.595,0.259
Living,Alice Cooper,0.8449,0.0,0.872,0.128
Lock Me Up,Alice Cooper,-0.9979,0.251,0.723,0.026
Long Way To Go,Alice Cooper,-0.8589,0.131,0.768,0.101
"Look At You Over There, ...",Alice Cooper,0.9576,0.011,0.894,0.095
Lost In America,Alice Cooper,0.8327,0.078,0.782,0.14
Love Should Never Feel Like This,Alice Cooper,-0.8408,0.228,0.596,0.177
Luney Tune,Alice Cooper,0.6492,0.115,0.728,0.157
Make That Money (Scrooge's Song),Alice Cooper,0.7697,0.053,0.865,0.082
Man Of The Year,Alice Cooper,0.9781,0.067,0.751,0.182
Man With The Golden Gun,Alice Cooper,-0.9878,0.198,0.757,0.045
Might As Well Be On Mars,Alice Cooper,0.9608,0.032,0.852,0.115
Model Citizen,Alice Cooper,-0.5842,0.114,0.787,0.099
Mr And Misdemeanor,Alice Cooper,0.9822,0.043,0.623,0.335
Muscle Of Love,Alice Cooper,0.997,0.028,0.576,0.396
My God,Alice Cooper,0.8292,0.125,0.7,0.176
My Stars,Alice Cooper,0.5267,0.088,0.811,0.101
Never Been Sold Before,Alice Cooper,-0.943,0.2,0.689,0.111
No Longer Umpire,Alice Cooper,-0.802,0.148,0.797,0.055
No Man's Land,Alice Cooper,-0.8961,0.133,0.754,0.113
No More Mr Nice Guy,Alice Cooper,-0.8541,0.233,0.583,0.184
No Time For Tears,Alice Cooper,-0.9468,0.252,0.642,0.106
No Tricks,Alice Cooper,-0.9696,0.159,0.771,0.07
Nobody Likes Me,Alice Cooper,0.9924,0.143,0.48,0.377
Not That Kind Of Love,Alice Cooper,-0.9969,0.268,0.653,0.079
Nothing's Free,Alice Cooper,0.9911,0.131,0.621,0.248
Novocaine,Alice Cooper,-0.9272,0.163,0.71,0.127
Only My Heart Talkin',Alice Cooper,0.9675,0.058,0.815,0.127
Only Women Bleed,Alice Cooper,-0.9254,0.125,0.828,0.047
Pain,Alice Cooper,-0.9934,0.272,0.622,0.106
Painting A Picture,Alice Cooper,-0.802,0.148,0.797,0.055
Pass The Gun Around,Alice Cooper,-0.9825,0.145,0.825,0.031
Perfect,Alice Cooper,0.992,0.103,0.643,0.255
Pessi-Mystic,Alice Cooper,-0.9753,0.134,0.816,0.05
Pick Up The Bones,Alice Cooper,-0.5842,0.123,0.755,0.121
Prettiest Cop On The Block,Alice Cooper,0.9904,0.11,0.681,0.209
Pretty Ballerina,Alice Cooper,0.9437,0.105,0.699,0.196
Prince Of Darkness,Alice Cooper,-0.9953,0.288,0.621,0.091
Raped And Freezin',Alice Cooper,-0.5587,0.144,0.751,0.105
Reflected,Alice Cooper,0.9889,0.015,0.678,0.306
Respect For The Sleepers (Demo),Alice Cooper,-0.9587,0.264,0.588,0.149
Return Of The Spiders,Alice Cooper,0.7729,0.076,0.794,0.13
A Little Bitter,Alice In Chains,-0.3184,0.12,0.749,0.131
A Looking In View,Alice In Chains,-0.9917,0.196,0.792,0.013
Acid Bubble,Alice In Chains,-0.9081,0.143,0.813,0.045
Again,Alice In Chains,0.9869,0.089,0.645,0.266
All Secrets Known,Alice In Chains,0.9524,0.141,0.53,0.328
Alone,Alice In Chains,-0.9795,0.163,0.804,0.033
Am I Inside,Alice In Chains,-0.891,0.169,0.723,0.108
Black Gives Way To Blue,Alice In Chains,-0.8791,0.235,0.723,0.042
Bleed The Freak,Alice In Chains,0.2416,0.115,0.753,0.133
Blue,Alice In Chains,-0.9247,0.188,0.687,0.124
Breath On A Window,Alice In Chains,-0.3532,0.131,0.761,0.108
Brother,Alice In Chains,0.6249,0.082,0.808,0.11
Brush Away,Alice In Chains,-0.5803,0.108,0.83,0.062
Check My Brain,Alice In Chains,0.6249,0.077,0.799,0.124
Chemical Addiction,Alice In Chains,-0.9924,0.221,0.707,0.072
Choke,Alice In Chains,-0.8175,0.144,0.729,0.127
Confusion,Alice In Chains,-0.9889,0.311,0.535,0.154
Died,Alice In Chains,-0.9985,0.403,0.578,0.019
Dirt,Alice In Chains,-0.7835,0.193,0.649,0.158
Distance Aside,Alice In Chains,-0.9063,0.108,0.847,0.044
Don't Follow,Alice In Chains,-0.7886,0.141,0.749,0.11
Down In A Hole,Alice In Chains,-0.9258,0.096,0.832,0.072
Fairytale Love Story,Alice In Chains,0.7846,0.164,0.65,0.187
Fear The Voices,Alice In Chains,-0.9676,0.19,0.737,0.073
Foolish,Alice In Chains,-0.9287,0.195,0.699,0.105
Frogs,Alice In Chains,-0.9676,0.171,0.724,0.105
Get Born Again,Alice In Chains,0.9042,0.099,0.752,0.149
God Am,Alice In Chains,0.9988,0.054,0.479,0.467
Got Me Wrong,Alice In Chains,0.8871,0.162,0.628,0.21
Head Creeps,Alice In Chains,-0.9928,0.201,0.755,0.044
Heaven Beside You,Alice In Chains,0.4806,0.152,0.645,0.203
Hung On A Hook,Alice In Chains,-0.9924,0.204,0.796,0.0
I Can't Have You Blues,Alice In Chains,-0.8271,0.053,0.929,0.018
I Can't Remember,Alice In Chains,-0.9619,0.217,0.679,0.104
I Don't Wanna Be A Soldier,Alice In Chains,0.9857,0.166,0.532,0.302
I Stay Away,Alice In Chains,-0.5831,0.187,0.683,0.131
It Ain't Like That,Alice In Chains,-0.9084,0.152,0.77,0.078
I've Seen All This World I Care To See,Alice In Chains,-0.9243,0.206,0.685,0.109
Junkhead,Alice In Chains,0.9845,0.057,0.741,0.202
Killer Is Me,Alice In Chains,-0.8061,0.14,0.742,0.118
Killing Yourself,Alice In Chains,-0.9916,0.269,0.673,0.058
King Of The Kats,Alice In Chains,0.9474,0.053,0.779,0.167
Lab Monkey,Alice In Chains,-0.969,0.171,0.74,0.089
Last Of My Kind,Alice In Chains,-0.9635,0.207,0.647,0.146
Leave Me Alone,Alice In Chains,-0.5994,0.209,0.682,0.109
Lesson Learned,Alice In Chains,-0.8963,0.141,0.799,0.061
Lip Lock Rock,Alice In Chains,-0.9424,0.127,0.774,0.099
"Love, Hate, Love",Alice In Chains,0.9929,0.236,0.354,0.41
Low Ceiling,Alice In Chains,-0.6465,0.071,0.901,0.028
Lying Season,Alice In Chains,-0.9632,0.206,0.698,0.096
Man In The Box,Alice In Chains,-0.8943,0.171,0.74,0.089
More Than U R,Alice In Chains,0.6349,0.084,0.799,0.117
Nothin' Song,Alice In Chains,0.8322,0.043,0.879,0.079
Over Now,Alice In Chains,-0.95,0.233,0.635,0.132
Phantom Limb,Alice In Chains,-0.4336,0.221,0.57,0.208
Pretty Done,Alice In Chains,0.9932,0.107,0.54,0.354
Rain When I Die,Alice In Chains,-0.7287,0.165,0.695,0.14
Right Turn,Alice In Chains,-0.9433,0.176,0.784,0.041
Ring Them Bells,Alice In Chains,-0.5065,0.072,0.863,0.065
Scalpel,Alice In Chains,0.7156,0.119,0.761,0.119
Sea Of Sorrow,Alice In Chains,-0.9118,0.182,0.712,0.107
Sludge Factory,Alice In Chains,-0.4162,0.158,0.71,0.132
So Close,Alice In Chains,0.977,0.011,0.741,0.248
Social Parasite,Alice In Chains,0.6226,0.125,0.738,0.136
Suffragette City,Alice In Chains,0.8482,0.05,0.892,0.058
Take Her Out,Alice In Chains,0.7511,0.074,0.729,0.197
The Devil Put Dinosaurs Here,Alice In Chains,-0.9882,0.306,0.522,0.173
Them Bones,Alice In Chains,-0.9506,0.22,0.735,0.045
Voices,Alice In Chains,-0.2869,0.04,0.933,0.027
We Die Young,Alice In Chains,-0.7845,0.107,0.84,0.053
What The Hell Have I?,Alice In Chains,-0.7164,0.172,0.708,0.12
When The Sun Rose Again,Alice In Chains,-0.9082,0.142,0.836,0.022
Your Decision,Alice In Chains,-0.959,0.157,0.807,0.036
9 To 5,Alison Krauss,0.794,0.033,0.894,0.073
A Living Prayer,Alison Krauss,0.9906,0.019,0.751,0.231
"Another Day, Another Dollar",Alison Krauss,0.9286,0.02,0.856,0.124
Another Night,Alison Krauss,-0.8606,0.153,0.744,0.104
As Lovely As You,Alison Krauss,0.9928,0.062,0.684,0.255
Away Down The River,Alison Krauss,0.1779,0.06,0.891,0.049
Baby Mine,Alison Krauss,0.9862,0.054,0.735,0.211
"Baby, Now That I've Found You",Alison Krauss,0.9735,0.01,0.867,0.123
Blue And Lonesome,Alison Krauss,-0.9287,0.171,0.762,0.066
Blue Trail Of Sorrow,Alison Krauss,-0.9218,0.19,0.717,0.093
Borderline,Alison Krauss,0.9283,0.08,0.787,0.133
Bright Sunny South,Alison Krauss,0.9735,0.04,0.746,0.214
Broadway,Alison Krauss,0.9699,0.023,0.853,0.124
Can't Find My Way Home,Alison Krauss,-0.9538,0.138,0.862,0.0
Cloudy Days,Alison Krauss,-0.6264,0.045,0.921,0.034
Could You Lie,Alison Krauss,0.2652,0.151,0.712,0.137
Crazy Faith,Alison Krauss,0.998,0.105,0.558,0.336
Dark Skies,Alison Krauss,-0.3484,0.14,0.75,0.11
Daylight,Alison Krauss,0.9732,0.068,0.76,0.172
Deeper Than Crying,Alison Krauss,-0.0121,0.073,0.86,0.067
Didn't Leave Nobody But The Baby,Alison Krauss,0.7888,0.074,0.796,0.13
Doesn't Have To Be This Way,Alison Krauss,-0.8608,0.162,0.704,0.133
Down To The River To Pray,Alison Krauss,0.9949,0.004,0.799,0.197
Dustbowl Children,Alison Krauss,0.775,0.038,0.874,0.088
Empty Hearts,Alison Krauss,0.7293,0.099,0.737,0.164
Endless Highway,Alison Krauss,-0.6767,0.098,0.865,0.037
Every Time You Say Goodbye,Alison Krauss,-0.8967,0.146,0.754,0.101
Everybody Wants To Go To Heaven,Alison Krauss,-0.9633,0.248,0.549,0.203
Forget About It,Alison Krauss,-0.8748,0.144,0.783,0.073
Ghost In This House,Alison Krauss,-0.9815,0.161,0.827,0.012
Gone Gone Gone (Done Moved On),Alison Krauss,-0.7717,0.122,0.817,0.061
Goodbye Is All We Have,Alison Krauss,0.7902,0.022,0.899,0.079
Happiness,Alison Krauss,0.7426,0.256,0.469,0.275
Heartstrings,Alison Krauss,0.9665,0.026,0.85,0.124
Heaven's Bright Shore,Alison Krauss,0.9967,0.077,0.627,0.296
How's The World Treating You,Alison Krauss,0.8633,0.128,0.682,0.19
I Am A Man Of Constant Sorrow,Alison Krauss,0.296,0.112,0.776,0.113
I Don't Believe You've Met My Baby,Alison Krauss,0.9626,0.041,0.806,0.153
I Don't Have To Live This Way,Alison Krauss,0.8338,0.065,0.812,0.122
